Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
82294;08/01/1961;0000;;33.3;;;;;;1.333333;
82294;08/01/1961;1200;0;;20.7;;;;;;
82294;09/01/1961;0000;;33.3;;;;;;1.333333;
82294;09/01/1961;1200;0;;20.9;;;;;;
82294;10/01/1961;0000;;33.5;;;;;;1.333333;
82294;10/01/1961;1200;0;;22.3;;;;;;
82294;11/01/1961;0000;;33.7;;;;;;2;
82294;11/01/1961;1200;0;;21.7;;;;;;
82294;12/01/1961;0000;;33.5;;;;;;2.666667;
82294;12/01/1961;1200;0;;23.1;;;;;;
82294;13/01/1961;0000;;33.7;;;;;;3.333333;
82294;13/01/1961;1200;0;;22.9;;;;;;
82294;14/01/1961;0000;;32.7;;;;;;2.666667;
82294;14/01/1961;1200;0;;22.9;;;;;;
82294;15/01/1961;0000;;32.7;;;;;;1.333333;
82294;15/01/1961;1200;0;;15.1;;;;;;
82294;16/01/1961;0000;;32.1;;;;;;0.666667;
82294;16/01/1961;1200;0;;22.7;;;;;;
82294;17/01/1961;0000;;32.3;;;;;;0.666667;
82294;17/01/1961;1200;0;;20.1;;;;;;
82294;18/01/1961;0000;;31.7;;;;;;2.666667;
82294;18/01/1961;1200;0;;19.7;;;;;;
82294;19/01/1961;0000;;31.7;;;;;;0.666667;
82294;19/01/1961;1200;15;;20.3;;;;;;
82294;20/01/1961;0000;;31.7;;;;;;2;
82294;20/01/1961;1200;25;;21.1;;;;;;
82294;21/01/1961;0000;;32.3;;;;;;2;
82294;21/01/1961;1200;14;;20.5;;;;;;
82294;22/01/1961;0000;;32.5;;;;;;1.333333;
82294;22/01/1961;1200;0;;20.7;;;;;;
82294;23/01/1961;0000;;32.7;;;;;;2.666667;
82294;23/01/1961;1200;0;;22.5;;;;;;
82294;24/01/1961;0000;;32.5;;;;;;2;
82294;24/01/1961;1200;0;;22.5;;;;;;
82294;25/01/1961;0000;;31.9;;;;;;0;
82294;25/01/1961;1200;15.8;;19.1;;;;;;
82294;26/01/1961;0000;;31.9;;;;;;1.333333;
82294;26/01/1961;1200;0;;19.9;;;;;;
82294;27/01/1961;0000;;31.9;;;;;;2;
82294;27/01/1961;1200;0;;21.1;;;;;;
82294;28/01/1961;0000;;32.5;;;;;;2;
82294;28/01/1961;1200;10;;20.1;;;;;;
82294;29/01/1961;0000;;31.9;;;;;;2;
82294;29/01/1961;1200;20;;20.1;;;;;;
82294;30/01/1961;0000;;31.7;;;;;;1.333333;
82294;30/01/1961;1200;21;;20.1;;;;;;
82294;31/01/1961;0000;;31.7;;;;;;0;
82294;31/01/1961;1200;30;;18.9;;;;;;
82294;01/02/1961;0000;;27;;;;;;0;
